review_id,prof_ID,rating,misc_d,arousal,style,hook_score,review
1369,173,3.5,0.7,0.2755935219421312,0.020000000000000004,0.16550429249652293,"hate science, he made me love it. very interesting class."
14081,1249,1.0,0.69,0.23302264936648467,0.07333333333333333,0.14826960434936218,not helpful at all.... i wish i can say something nice about her.
12152,302,5.0,0.64,0.26070732549886644,0.06,0.14423415065541964,best professor i've ever had. i want to be her when i grow up.
10220,379,4.0,0.67,0.24424664263443088,0.04000000000000001,0.14162727143167103,he makes class interesting although very challenging. i liked him so much in calc one i took him in calc two.
15816,121,1.0,0.85,0.04501090163427682,0.37875000000000003,0.13915739901799493,"i had this guy last year and let me tell you that after every class i would go to my car and start crying. he made me feel stupid, and pretty much i was board but still tried very hard!!! i was so frustrated!!! again i left almost every class in tears!"
16446,877,5.0,0.67,0.25306272480178277,0.0,0.13878431428622914,"awesome teacher. very enthusiastic, very brilliant. she loves her job, and always has everything planned out so well."
14111,181,5.0,0.62,0.2638161006463253,0.0,0.128791983334376,great teacher. very supportive and helpful. it's very clear how much she loves and respects children.
8745,619,5.0,0.6,0.26765346801031753,0.020000000000000004,0.12764739690984855,love love love best professor at middlesex county college. hated history before i took him. attend class and participate and you will get an a
18146,1104,5.0,0.65,0.22263426389740104,0.04000000000000001,0.12400741779528346,one of the best profs at plu. i graduated 6 years ago and looking back he is still my favorite.
19649,665,3.5,0.6,0.23310486852062723,0.03333333333333333,0.11375952952872143,"nice guy, loves weather... gets very excited about it. not a bad teacher at all."
16572,888,5.0,0.78,0.018910661614752706,0.41666666666666663,0.11348840626851146,"hottie!!! hottie!!! hottie!!! i sat there the entire semester dreaming about him... anyways... stat is easy for me, so that gave me plenty of time to day dream. and i got an a. i'll say it again!!! hottie!!! hottie!!! hottie!!!"
15954,413,5.0,0.7,0.11963047948448462,0.20958333333333334,0.11302377741864399,soooooo funny!!! he just wants to have fun and have a lot of debates with him... oh god! haha.. he is the coolest teacher ever i had!
4723,818,5.0,0.62,0.21194651554833557,0.04000000000000001,0.11030448783705384,i wish she was still at el centro. i miss her and they need her here. she is the best baking pastry instructor they had here.
10244,741,4.5,0.8,0.15082290234334433,0.0,0.1079200839051297,he is a great professor. he loves to sit down and meet with you one on one and is willing to help at any time.
1408,306,3.5,0.64,0.14121052310485804,0.19125000000000003,0.10657178782968732,"well, she's and interesting woman for sure! i took this class at the pinnacle of my first relationship. i came to love women and myself as a woman. i know i became more powerful inside myself, and i learned to love others more fully. my one qualm, the class is a little doomsday end of the world ish. i say take it, but keep in mind, humanity is okay"
19860,1239,5.0,0.64,0.12617343809560166,0.225,0.10492080030494805,"most beautiful professor ever! i guarantee i miss her more than anyone. summer is so smart, down to earth, smokin hot, and really funny too. all of her lectures were great but the one on cmc and wbts were my favorite. i hope i see her again on campus but her modeling career has taken off!!!"
6478,988,3.0,0.87,0.10381502985340431,0.0625,0.10199519399239734,"love doctor jackson, if you need to take 301, take it with her! great teacher!"
15039,53,1.0,1.0,0.0,0.29000000000000004,0.1015,avoid her! profanity i couldn't stand her!!! she thinks she is funny but she isn't!!! i wish she is dead! profanity
11263,1323,4.5,0.71,0.15719175927776327,0.020000000000000004,0.09822880921889841,"i love, love, love doctor snider. he is so slick and neat. he is extremely helpful and makes chemistry so fun and easy to relate to. his take home tests will make you want to die, but other than that you will love your life if you take him."
16075,601,2.5,0.93,0.00615055399645923,0.29375,0.09772455238915556,oh man. i don't know how she got such good ratings. her voice makes you want to... hurt... things. every seen mrs doubtfire? she's like a mix of that and julia child. makes it hard to focus and i think she does it on purpose! i don't mean to be hateful... but you need the facts. don't take her. definitely. i even got a b and i'm sayin this!
14908,934,5.0,0.6,0.17289307323291683,0.10250000000000001,0.09702663250210766,"she's easily my favorite professor, she's understanding and helpful and a relatively easy marker. intro was hard, but past that she eases up and gets to know you quickly! i love all of her jewellery!"
18801,556,5.0,0.64,0.1526046143146886,0.10458333333333333,0.0968748958624539,best teacher and a great friend still today. quite an ex hippy which is fine with me! profanity i love doctor zorn...
10162,365,3.5,0.63,0.1849823731120008,0.020000000000000004,0.09600020930348747,she is good i actually like her she is not that bad and tells you what exactly is on test
16453,969,4.5,0.61,0.17931387039388294,0.06,0.09543458182072934,"hard teacher, but all of his pushing is so you can find the better you. he gave me a really hard time and i thank him for it. love, love, love me some norman and his wrestling boots."
9071,55,1.5,0.68,0.13685427443598655,0.09125,0.09464869880396047,"this woman is awful. i have liked every teacher i have had at neumann, except for her. she is rude and unwilling to help, and she makes no sense whatsoever. the work is hard and she has no desire to help you through the class, i've tried numerous times. bottom line stay away from her classes if you can!"
12758,182,5.0,0.8,0.08476788812933803,0.13375,0.094151261556162,i love carol! she made me laugh. she tells you exactly what she wants from yuo in papers and that's really all she wants! she's very straight forward about grading!
5944,895,1.0,0.62,0.1924414327772364,0.0,0.0939476921323926,"she is horrible, never answer email and horrible at explaining. not a good teacher to take"
6755,465,4.0,0.64,0.15418203979707787,0.0825,0.09372520437610388,"mann, is great! it's a hard class but i love it!"
19427,600,3.0,0.82,0.11861079244347188,0.020000000000000004,0.09327123645274686,good teacher but personally i like ms muroski at hazleton better.
60,155,4.5,0.6,0.16507612003684427,0.1,0.09298697770517927,"he was my teacher for years. he knows alot about deaf culture, history and linguistics. i loved having him and it was a lot of fun. it was very educational for me. if it werent for him, then i wouldn't be able to know a lot of things because i am currente"
1977,64,5.0,0.86,0.1086971040608323,0.020000000000000004,0.092272049152069,"everything professor zoccolillo says is admirable. one of my favorites is, it's about living in a world where our lives and our assumptions about each other intersect, and yes, crash, and how we live and love and hurt and hate each other and ourselves."
1502,1032,5.0,0.74,0.06407031110874156,0.225,0.09091542104642358,"i love peter kuhlman! if i could chemically make a baby with him i would! best professor ever. he's so understanding, and is always there to help. i wish he taught all my classes. ps check out the paint!!"
7181,686,4.5,0.65,0.17099243604222458,0.0,0.08960803100482151,she is very helpful at times. she is also very funny but she can also be dingy.
12021,1146,5.0,0.65,0.11940751353384098,0.14500000000000002,0.08917049257476262,she is the absolute best teacher ever! i love her! she's really funny to! you're the best doctor mirabella! profanity
17888,1000,5.0,0.61,0.15806801596576295,0.0825,0.08906436942143638,"i love mrs yancey. she is so funny! class notes come in handy for the tests, but other than that her class is a lot of discussions. she is from mississippi and makes fun of herself and her family a lot, which is refreshing. take her if you can!"
18070,398,5.0,0.69,0.09765854215809962,0.1625,0.08857198861490913,"i love her! my boyfriend is in the navy, and when i asked for a week off she told me this class is all about relationships, enjoy your week with your boyfriend. my favorite teacher by far! she is amazingly kind hearted, sweet and caring. not to mention interesting, hands on projects, clear instruction and manageble work load."
6508,918,5.0,0.64,0.0950906113692636,0.22083333333333333,0.0882597263543963,he is so awesome!! funny and cute!! explains all the course material!! very interesting...
13408,450,2.5,0.71,0.11137514259406447,0.1,0.08756990009430198,"i really love this teachers enthusiasm, but the subject still bores me. be ready for his long useless talking about nothing, but try to enjoy his sense of humor if you can. study please, i wish i could fix my grade."
4303,1069,5.0,1.0,0.0,0.25,0.0875,he's the nicest man in the world!! he makes sure you understand the laws!! he wants you to be a good cop!!! he does everything to help you out!!
14576,1373,2.0,0.6,0.16614309220751994,0.05333333333333334,0.08589181420035996,his lectures put me to sleep. he needs to be a little bit more exciting...
15165,617,5.0,0.87,0.1046562555445784,0.0,0.08492666521948533,amazing professor. love his tight jeans and boots love his discussion of cows even more.
19883,1028,5.0,0.6,0.15462258114969538,0.08000000000000002,0.08487530585210191,"i took him for a hybrid class and at first i honestly thought that i was going to regret it because he seemed tough. after the first few assignments and in class lectures, i was really liking the class and him as a professor. he is a super cool guy. he loves to focus on music and artists that he likes. the topic papers are different and interesting"
16556,1179,4.0,0.64,0.15159302665409052,0.04000000000000001,0.08478362964689436,"this guy is extremely genius but i came to realize this at the end of the semester. so, just have a positive attitude from the out set and take him with no hesitation. trust me you are going to love logic for the rest of your life."
1878,820,1.0,0.69,0.12650054942760774,0.06,0.08454097927315364,"horrible professor, lazy and doesn't have a clue how to teach. is this the best devry can do. i wish i had of known about her before hand, then i would not never came to devry."
7800,202,1.5,0.69,0.14012323575055943,0.020000000000000004,0.08432471928039699,"he really loves film, but he makes you hate it. he can talk forever and he can really put you to sleep. for anyone who loves to sleep, i recommend this class."
300,621,1.5,0.67,0.12561486570104635,0.08000000000000002,0.08424525507338057,"worst art teacher i have ever had. loved himself. discouraged all creativity. we disagreed on one project and he was unbeleviably rude to me, and because of our disagreement he almost failed me. r dont ever take a class with this teacher. r awful. im and art major, and i have never been so disgusted."
10150,718,5.0,0.64,0.0666081925166917,0.2783333333333333,0.08398072790187948,"oh my, i only have good things to say about her class. i was dreading comp ii, but she made is soooo enjoyable... take her!! i have always hated writing and all that kind of stuff, but she made is relatively fun for me! and i got a good grade!"
8797,565,5.0,1.0,0.0,0.23875000000000002,0.0835625,omg!!! she is so hot! profanity she can arrest me any day!!! frisk them baby
7387,1045,2.0,0.69,0.0761968006796629,0.19625,0.08304145786776408,"horrible, horrible professor! she hardly every smiles and when she does it's very rare because 90 percent of the time she is yelling at her students like they re children! be prepared to feel like an idiot if you don't have the answer she is looking for! she is by far the rudest lady on the planet! i can honestly say i hate her!"
15803,431,4.5,0.8,0.07898398876756232,0.10458333333333333,0.08270815134231929,"no joke, i developed a crush on him because he was so passionate about his work, his students and the environment. awesome guy! wow. i actually miss attending his lectures..."
14506,1143,1.0,0.77,0.0639951798564614,0.165,0.0822598405534365,"i felt so discouraged after this class!! i always thought when things are a myth there is no right or wrong answer, sorry but to him there is only his right!!"
12200,1089,5.0,0.77,0.011783121021200384,0.31416666666666665,0.08225732333513748,doctor sambrook is awesome! you have to take the time to build a relationship with him! he is shy... talk to him and he will talk back! i went the whole summer with him to ecuador and had an absolute blast with him! he wrote me the most touching letter of reference so i could become a teacher! if you are bored... you are boring!
1512,320,3.5,0.71,0.09387118820175995,0.1225,0.08180931425162837,"i took him for an fys and i thought he was really funny! his laugh is hysterical! i'm not an english major, so he might be difficult. he wasn't that hard for the fys."
11558,1178,5.0,0.6,0.1679700443598687,0.020000000000000004,0.08131872814691334,i adore this man. so awesome. such a great professor.
11003,907,5.0,0.67,0.10734625677410387,0.11583333333333333,0.08110449321217893,"this guy is soooo funny! always making us laugh! he's very helpful when you need his help, too. if i had one word to describe him.... quirky"
5553,180,5.0,0.71,0.08774142797329121,0.13375,0.08049778002672164,"awesomely easy to understand, she's good at making you understand. she says things to grab your attention. she's funny, and easy to work with! i would recommend her to anyone!! she my favorite so far.."
16069,601,4.5,0.6,0.1583073625796928,0.04000000000000001,0.0800812254840088,she is a wonderful person and i love her enthusiasm passion. super sweet and willing to help you in any way. the class was fairly easy. my only problem with her is that she is easily distracted and loves to ramble on. she will spend half of the class talking about something completely unrelated to what we are supposed to be learning.
18389,1333,4.5,0.64,0.13683996517649558,0.05333333333333334,0.07961939550369906,she keeps class fun and interesting and thats not easy to do with any lit class... plus i was one of the clowns that was always being stupid in the back of the classroom and she would let us get away with it as long as we were joking about the reading and the ssshhhhhhhhhhing girl in the back. u would understand if u took the class.
